,unguessed_names
0,Colorado
1,Connecticut
2,Delaware
3,Indiana
4,Kansas
5,Kentucky
6,Louisiana
7,Maryland
8,Massachusetts
9,Minnesota
10,Mississippi
11,Missouri
12,Montana
13,Nebraska
14,New Hampshire
15,Ohio
16,Oklahoma
17,Oregon
18,Pennsylvania
19,Rhode Island
20,South Carolina
21,South Dakota
22,Tennessee
23,Vermont
24,Virginia
25,West Virginia
26,Wisconsin
27,Wyoming
